x,y,z
1.311205749511718750e+02,2.418529510498046875e+01,1.347696838378906250e+02
1.309355468750000000e+02,2.431934165954589844e+01,1.348288574218750000e+02
1.308007507324218750e+02,2.440719604492187500e+01,1.348842926025390625e+02
1.307347869873046875e+02,2.445204162597656250e+01,1.349086914062500000e+02
1.306046447753906250e+02,2.453441047668457031e+01,1.349604339599609375e+02
1.300021972656250000e+02,2.498105812072753906e+01,1.351900024414062500e+02
1.296103820800781250e+02,2.525074005126953125e+01,1.353174438476562500e+02
1.291248779296875000e+02,2.556759071350097656e+01,1.354328918457031250e+02
1.289958648681640625e+02,2.563586616516113281e+01,1.354590301513671875e+02
1.283816986083984375e+02,2.600962829589843750e+01,1.356035766601562500e+02
1.279739227294921875e+02,2.628148651123046875e+01,1.357211151123046875e+02
1.279159164428710938e+02,2.632099914550781250e+01,1.357381896972656250e+02
1.277746658325195312e+02,2.642713165283203125e+01,1.357756958007812500e+02
1.271398315429687500e+02,2.683430480957031250e+01,1.359590606689453125e+02
1.266247634887695312e+02,2.715975952148437500e+01,1.360405273437500000e+02
1.263349990844726562e+02,2.734861564636230469e+01,1.361195068359375000e+02
1.263257141113281250e+02,2.735478019714355469e+01,1.361220092773437500e+02
1.260193023681640625e+02,2.753354835510253906e+01,1.361987609863281250e+02
1.259959487915039062e+02,2.754720497131347656e+01,1.362057189941406250e+02
1.253127670288085938e+02,2.803377342224121094e+01,1.363925476074218750e+02
1.251533203125000000e+02,2.812391471862792969e+01,1.364374694824218750e+02
1.250619659423828125e+02,2.818505477905273438e+01,1.364586791992187500e+02
1.246022720336914062e+02,2.846707725524902344e+01,1.365297546386718750e+02
1.245240707397460938e+02,2.852160453796386719e+01,1.365484619140625000e+02
1.244181671142578125e+02,2.859393119812011719e+01,1.365729217529296875e+02
1.242985382080078125e+02,2.866553497314453125e+01,1.365975952148437500e+02
1.240324707031250000e+02,2.883554077148437500e+01,1.366519317626953125e+02
1.237446517944335938e+02,2.901317977905273438e+01,1.367104339599609375e+02
1.234697647094726562e+02,2.921018791198730469e+01,1.367863464355468750e+02
1.234038848876953125e+02,2.925760269165039062e+01,1.368049011230468750e+02
1.234033966064453125e+02,2.925790214538574219e+01,1.368050537109375000e+02
1.233430786132812500e+02,2.929514884948730469e+01,1.368244018554687500e+02
1.226436309814453125e+02,2.975399208068847656e+01,1.370205078125000000e+02
1.225673217773437500e+02,2.979896926879882812e+01,1.370396423339843750e+02
1.224023284912109375e+02,2.990724563598632812e+01,1.370850830078125000e+02
1.222700424194335938e+02,3.000759887695312500e+01,1.371163787841796875e+02
1.219873886108398438e+02,3.021512985229492188e+01,1.371931762695312500e+02
1.217939453125000000e+02,3.034351158142089844e+01,1.372441864013671875e+02
1.217413101196289062e+02,3.037771987915039062e+01,1.372583312988281250e+02
1.216946105957031250e+02,3.041181182861328125e+01,1.372720489501953125e+02
1.216527175903320312e+02,3.044346427917480469e+01,1.372833709716796875e+02
1.214935607910156250e+02,3.056444358825683594e+01,1.373328094482421875e+02
1.214584121704101562e+02,3.058941841125488281e+01,1.373431091308593750e+02
1.209360961914062500e+02,3.092750358581542969e+01,1.374606475830078125e+02
1.207223510742187500e+02,3.105429649353027344e+01,1.375182952880859375e+02
1.205482635498046875e+02,3.117111587524414062e+01,1.375740203857421875e+02
1.204977569580078125e+02,3.120915222167968750e+01,1.375936584472656250e+02
1.204409255981445312e+02,3.125304031372070312e+01,1.376092834472656250e+02
1.204391326904296875e+02,3.125427055358886719e+01,1.376096801757812500e+02
1.199922103881835938e+02,3.156039810180664062e+01,1.377101440429687500e+02
1.199520111083984375e+02,3.158866500854492188e+01,1.377213287353515625e+02
1.194827957153320312e+02,3.191893386840820312e+01,1.378520660400390625e+02
1.191267929077148438e+02,3.214973068237304688e+01,1.379651336669921875e+02
1.190944519042968750e+02,3.217002487182617188e+01,1.379763336181640625e+02
1.190719757080078125e+02,3.218404769897460938e+01,1.379820861816406250e+02
1.186910781860351562e+02,3.245664978027343750e+01,1.380906066894531250e+02
1.185620651245117188e+02,3.253693008422851562e+01,1.381287994384765625e+02
1.182913894653320312e+02,3.272249603271484375e+01,1.382101287841796875e+02
1.182730026245117188e+02,3.273540115356445312e+01,1.382156219482421875e+02
1.179731216430664062e+02,3.292816162109375000e+01,1.383058929443359375e+02
1.177694168090820312e+02,3.308458328247070312e+01,1.383687744140625000e+02
1.175525131225585938e+02,3.323517227172851562e+01,1.384322357177734375e+02
1.175524063110351562e+02,3.323523712158203125e+01,1.384322662353515625e+02
1.175258560180664062e+02,3.325183868408203125e+01,1.384385986328125000e+02
1.172167129516601562e+02,3.347639465332031250e+01,1.385279235839843750e+02
1.171306152343750000e+02,3.353449630737304688e+01,1.385508880615234375e+02
1.170697021484375000e+02,3.357291030883789062e+01,1.385654754638671875e+02
1.170640335083007812e+02,3.357667922973632812e+01,1.385668334960937500e+02
1.168319091796875000e+02,3.374224472045898438e+01,1.386485748291015625e+02
1.167270431518554688e+02,3.382390594482421875e+01,1.386836395263671875e+02
1.163604812622070312e+02,3.408266448974609375e+01,1.387955932617187500e+02
1.161256713867187500e+02,3.423122787475585938e+01,1.388807830810546875e+02
1.158274154663085938e+02,3.444409561157226562e+01,1.389518432617187500e+02
1.157264633178710938e+02,3.451103210449218750e+01,1.389781036376953125e+02
1.152171783447265625e+02,3.485353469848632812e+01,1.391713867187500000e+02
1.152135086059570312e+02,3.485634231567382812e+01,1.391726989746093750e+02
1.151564636230468750e+02,3.490131759643554688e+01,1.391903228759765625e+02
1.148281707763671875e+02,3.513046264648437500e+01,1.393047637939453125e+02
1.145790710449218750e+02,3.528733062744140625e+01,1.393726959228515625e+02
1.144780273437500000e+02,3.535638046264648438e+01,1.393995819091796875e+02
1.141222229003906250e+02,3.558145523071289062e+01,1.394826507568359375e+02
1.140322265625000000e+02,3.563780975341796875e+01,1.395140075683593750e+02
1.137879180908203125e+02,3.580595779418945312e+01,1.395926971435546875e+02
1.134694061279296875e+02,3.600600051879882812e+01,1.397002563476562500e+02
1.133952178955078125e+02,3.605486297607421875e+01,1.397271270751953125e+02
1.132599716186523438e+02,3.615310287475585938e+01,1.397601165771484375e+02
1.126133956909179688e+02,3.657708740234375000e+01,1.399924774169921875e+02
1.125429229736328125e+02,3.661704635620117188e+01,1.400172119140625000e+02
1.122078323364257812e+02,3.683149337768554688e+01,1.401315612792968750e+02
1.121672897338867188e+02,3.685927581787109375e+01,1.401424255371093750e+02
1.121451950073242188e+02,3.687544631958007812e+01,1.401483001708984375e+02
1.115229187011718750e+02,3.729691314697265625e+01,1.403385925292968750e+02
1.113691864013671875e+02,3.737980270385742188e+01,1.403770141601562500e+02
1.109614639282226562e+02,3.764201736450195312e+01,1.405131225585937500e+02
1.109280700683593750e+02,3.766120529174804688e+01,1.405238952636718750e+02
1.106831817626953125e+02,3.782910919189453125e+01,1.406018676757812500e+02
1.101748809814453125e+02,3.815802001953125000e+01,1.407577362060546875e+02
