"MaximumInscribedSphereRadius","EdgeArray:0","EdgeArray:1","EdgePCoordArray","Points:0","Points:1","Points:2"
5.7642,49983,49983,0,131.12,24.185,134.77
5.7697,53222,51399,0.684,130.94,24.319,134.83
5.7646,53223,53222,0.164,130.8,24.407,134.88
5.761,53223,53311,0.244,130.73,24.452,134.91
5.7493,58365,53311,0.476,130.6,24.534,134.96
5.7025,58358,58358,0,130,24.981,135.19
5.6612,58354,58354,0,129.61,25.251,135.32
5.6599,57829,57829,0,129.12,25.568,135.43
5.6609,57832,57832,0,129,25.636,135.46
5.647,50158,50158,0,128.38,26.01,135.6
5.6475,50265,50265,0,127.97,26.281,135.72
5.6478,50264,50263,0.924,127.92,26.321,135.74
5.6423,50261,50261,0,127.77,26.427,135.78
5.6266,3733,3733,0,127.14,26.834,135.96
5.6412,3783,3783,0,126.62,27.16,136.04
5.6408,50223,50226,0.04,126.33,27.349,136.12
5.6407,50223,50223,0,126.33,27.355,136.12
5.6448,50106,50106,0,126.02,27.534,136.2
5.6455,50105,50105,0,126,27.547,136.21
5.6562,7884,7884,0,125.31,28.034,136.39
5.6578,50236,1627,0.912,125.15,28.124,136.44
5.6569,4017,1627,0.832,125.06,28.185,136.46
5.651,4017,4017,0,124.6,28.467,136.53
5.6547,4018,4012,0.34,124.52,28.522,136.55
5.6595,1737,4012,0.848,124.42,28.594,136.57
5.6635,17200,17200,0,124.3,28.666,136.6
5.658,57655,57658,0.696,124.03,28.836,136.65
5.664,57665,57665,0,123.74,29.013,136.71
5.671,57845,57846,0.8,123.47,29.21,136.79
5.6728,57846,57846,0,123.4,29.258,136.8
5.6728,50773,57846,0.992,123.4,29.258,136.81
5.6716,50773,50773,0,123.34,29.295,136.82
5.6917,57816,57816,0,122.64,29.754,137.02
5.694,57815,59154,0.208,122.57,29.799,137.04
5.6976,4293,59157,0.8,122.4,29.907,137.09
5.6927,59156,57863,0.248,122.27,30.008,137.12
5.6881,58879,58879,0,121.99,30.215,137.19
5.6892,58876,58883,0.876,121.79,30.344,137.24
5.6905,58883,57823,0.764,121.74,30.378,137.26
5.69,57823,57824,0.396,121.69,30.412,137.27
5.6886,57824,57824,0,121.65,30.443,137.28
5.6852,57794,57794,0,121.49,30.564,137.33
5.6842,57803,59094,0.06,121.46,30.589,137.34
5.6929,59096,59096,0,120.94,30.928,137.46
5.7044,59089,51262,0.296,120.72,31.054,137.52
5.7124,50040,51344,0.624,120.55,31.171,137.57
5.7149,51344,51343,0.6,120.5,31.209,137.59
5.7118,51347,51347,0,120.44,31.253,137.61
5.7117,51345,51347,0.996,120.44,31.254,137.61
5.6958,51345,51345,0,119.99,31.56,137.71
5.6965,3597,3597,0,119.95,31.589,137.72
5.699,10358,10358,0,119.48,31.919,137.85
5.7191,59438,1437,0.872,119.13,32.15,137.97
5.7216,1650,1437,0.284,119.09,32.17,137.98
5.722,50184,10696,0.968,119.07,32.184,137.98
5.721,978,1774,0.104,118.69,32.457,138.09
5.7193,57813,57808,0.788,118.56,32.537,138.13
5.7168,59623,59617,0.512,118.29,32.722,138.21
5.717,59616,59622,0.48,118.27,32.735,138.22
5.7191,59621,59621,0,117.97,32.928,138.31
5.7173,59239,59240,0.86,117.77,33.085,138.37
5.7154,59241,59241,0,117.55,33.235,138.43
5.7154,59236,59241,0.996,117.55,33.235,138.43
5.7147,59236,59236,0,117.53,33.252,138.44
5.7026,57856,3574,0.248,117.22,33.476,138.53
5.7006,57856,51311,0.632,117.13,33.534,138.55
5.6987,51340,51341,0.008,117.07,33.573,138.57
5.6985,51340,51305,0.02,117.06,33.577,138.57
5.6935,51305,51305,0,116.83,33.742,138.65
5.6901,58274,50374,0.988,116.73,33.824,138.68
5.6875,50377,50377,0,116.36,34.083,138.8
5.6855,57766,57767,0.96,116.13,34.231,138.88
5.6715,58239,58239,0,115.83,34.444,138.95
5.6676,57885,58240,0.988,115.73,34.511,138.98
5.6719,51091,57882,0.988,115.22,34.854,139.17
5.6719,57882,57883,0.06,115.21,34.856,139.17
5.6706,57884,57883,0.404,115.16,34.901,139.19
5.6528,58249,58249,0,114.83,35.13,139.3
5.6419,58251,58252,0.632,114.58,35.287,139.37
5.6386,50280,58252,0.648,114.48,35.356,139.4
5.6323,51276,51276,0,114.12,35.581,139.48
5.632,57867,57871,0.076,114.03,35.638,139.51
5.6275,58405,58403,0.62,113.79,35.806,139.59
5.6315,58405,58433,0.832,113.47,36.006,139.7
5.6313,58433,58432,0.172,113.4,36.055,139.73
5.6275,50285,50285,0,113.26,36.153,139.76
5.613,50199,59199,0.808,112.61,36.577,139.99
5.6133,51278,50198,0.156,112.54,36.617,140.02
5.6107,6436,51278,0.048,112.21,36.831,140.13
5.6093,1690,6436,0.476,112.17,36.859,140.14
5.6081,1690,1690,0,112.15,36.875,140.15
5.5948,51246,51246,0,111.52,37.297,140.34
5.5965,51147,51249,0.928,111.37,37.38,140.38
5.5913,51478,51478,0,110.96,37.642,140.51
5.5911,51480,1855,0.012,110.93,37.661,140.52
